Algorithm,Group Size,Message Size,Encryption Time (ms),Decryption Time (ms),CPU Usage (%),Memory Usage (%),Message Overhead (bytes),Total Time (ms)
RatchetTree,1000,128,26.74997086,28.4182147,50,0.73583889,43956,251.917375
RatchetTree,1000,128,27.08297689,28.76269235,50,0.73583889,43956,254.743666
RatchetTree,1000,128,26.33302938,28.29775686,49.95,0.73583889,43956,252.030542
RatchetTree,1000,128,24.58301606,28.81435264,49.9,0.73583889,43956,256.005333
RatchetTree,1000,128,26.79199679,28.07541186,49.95,0.73583889,43956,250.103583
RatchetTree,1000,128,28.29096047,31.66621202,49.05,0.750220299,43956,293.682917
RatchetTree,1000,128,26.37499711,29.09799211,50,0.735892296,43956,256.169125
RatchetTree,1000,1024,42.41702845,40.39122997,49.3,0.738455772,43956,247.762209
RatchetTree,1000,1024,43.41703607,38.79152826,49.9,0.738455772,43956,266.199833
RatchetTree,1000,1024,40.20798951,38.55991369,49.9,0.738455772,43956,260.25325
RatchetTree,1000,1024,46.50000483,38.71011769,49.95,0.738455772,43956,266.396041
RatchetTree,1000,1024,43.74998389,39.08841015,50,0.738455772,43956,268.616
RatchetTree,1000,1024,46.4580371,38.90473646,50,0.738455772,43956,266.048291
RatchetTree,1000,1024,42.62500443,39.26446103,49.95,0.738455772,43956,269.983042
RatchetTree,1000,1024,45.24999531,40.677752,49.75,0.738455772,43956,275.073041
RatchetTree,1000,1024,46.87497858,40.50688632,49.7,0.738455772,43956,269.03475
RatchetTree,1000,1024,44.33403956,40.90491089,49.7,0.738455772,43956,273.340291
RatchetTree,1000,10240,129.4590184,112.4575958,49.95,0.773002625,43956,343.167166
RatchetTree,1000,10240,127.7499832,111.739161,50,0.773002625,43956,342.826458
RatchetTree,1000,10240,128.2080193,113.3032146,49.8,0.773002625,43956,348.20375
RatchetTree,1000,10240,139.8749882,114.1525671,49.85,0.773002625,43956,347.32175
RatchetTree,1000,10240,129.5830007,111.7352375,50,0.773002625,43956,346.081083
RatchetTree,1000,10240,139.8749882,113.0416155,49.8,0.773002625,43956,340.889458
RatchetTree,1000,10240,128.6249608,112.4259738,49.95,0.773002625,43956,343.77825
RatchetTree,1000,10240,127.8329873,111.27445,50,0.773002625,43956,344.022667
RatchetTree,1000,10240,133.7500289,112.3438657,49.4,0.773002625,43956,345.238334
RatchetTree,1000,10240,130.5409824,112.1182974,49.95,0.773002625,43956,343.942458
RatchetTree,10000,128,330.8302257,318.299095,50,7.116095543,439956,2393.556208
RatchetTree,10000,128,211.6704127,280.7517555,50,7.101820946,439956,2162.026709
RatchetTree,10000,128,235.8295023,302.3457686,50,7.111334801,439956,2285.192
RatchetTree,10000,128,223.7496665,281.4749674,50,7.101820946,439956,2173.773583
RatchetTree,10000,128,353.7500743,283.0298968,48.95,7.101820946,439956,2209.691209
RatchetTree,10000,128,252.0799171,318.7170477,50,7.116148949,439956,2437.611958
RatchetTree,10000,128,211.2495713,282.6883505,50,7.101820946,439956,2172.086667
RatchetTree,10000,128,294.5796587,321.0392788,50,7.116095543,439956,2443.955916
RatchetTree,10000,128,214.5796316,289.0377198,49.6,7.101820946,439956,2213.562208
